ensembl_gene_id	hgnc_symbol	entrezgene_id	gene_length
ENSG00000210049	MT-TF	NA	71
ENSG00000211459	MT-RNR1	NA	954
ENSG00000210077	MT-TV	NA	69
ENSG00000210082	MT-RNR2	NA	1559
ENSG00000209082	MT-TL1	NA	75
ENSG00000198888	MT-ND1	4535	956
ENSG00000210100	MT-TI	NA	69
ENSG00000210107	MT-TQ	NA	72
ENSG00000210112	MT-TM	NA	68
ENSG00000198763	MT-ND2	4536	1042
ENSG00000210117	MT-TW	NA	68
ENSG00000210127	MT-TA	NA	69
ENSG00000210135	MT-TN	NA	73
ENSG00000210140	MT-TC	NA	66
ENSG00000210144	MT-TY	NA	66
ENSG00000198804	MT-CO1	4512	1542
ENSG00000210151	MT-TS1	113219467	69
ENSG00000210154	MT-TD	NA	68
ENSG00000198712	MT-CO2	4513	684
ENSG00000210156	MT-TK	NA	70
ENSG00000228253	MT-ATP8	4509	207
ENSG00000198899	MT-ATP6	4508	681
ENSG00000198938	MT-CO3	4514	784
ENSG00000210164	MT-TG	NA	68
ENSG00000198840	MT-ND3	4537	346
ENSG00000210174	MT-TR	NA	65
ENSG00000212907	MT-ND4L	4539	297
ENSG00000198886	MT-ND4	4538	1378
ENSG00000210176	MT-TH	NA	69
ENSG00000210184	MT-TS2	NA	59
ENSG00000210191	MT-TL2	NA	71
ENSG00000198786	MT-ND5	4540	1812
ENSG00000198695	MT-ND6	4541	525
ENSG00000210194	MT-TE	NA	69
ENSG00000198727	MT-CYB	4519	1141
ENSG00000210195	MT-TT	NA	66
ENSG00000210196	MT-TP	NA	68
ENSG00000299200		NA	530.4375
ENSG00000308964		NA	766
ENSG00000303867		124907012	826.181818181818
ENSG00000303867		124908455	826.181818181818
ENSG00000271254		124905564	2922
ENSG00000278625		124905334	106
ENSG00000278704		NA	2237
ENSG00000297432		NA	479.5
ENSG00000297449		NA	332
ENSG00000299314		NA	648
ENSG00000303902		NA	1071.07142857143
ENSG00000277630		100288966	2065.5
ENSG00000278457		NA	119
ENSG00000278573		NA	603
ENSG00000298469		NA	671.625
ENSG00000306528		NA	479
ENSG00000295160		NA	255
ENSG00000296348		NA	884
ENSG00000277400		NA	2179
ENSG00000307824		NA	441
ENSG00000306901		NA	1515
ENSG00000278633		NA	2404
ENSG00000304745		101928669	886.493421052632
ENSG00000304745		124907012	886.493421052632
ENSG00000276197		NA	90
ENSG00000297972		NA	1371.14285714286
ENSG00000300519		NA	559.25
ENSG00000304422		102724750	1036
ENSG00000304422		124907407	1036
ENSG00000278294		124907156	152
ENSG00000278294		124907485	152
ENSG00000278294		124908250	152
ENSG00000274917	RNA5-8SN5	100008587	153
ENSG00000274917	RNA5-8SN5	124907114	153
ENSG00000274917	RNA5-8SN5	124907115	153
ENSG00000274917	RNA5-8SN5	124907116	153
ENSG00000274917	RNA5-8SN5	124907117	153
ENSG00000274917	RNA5-8SN5	124907118	153
ENSG00000274917	RNA5-8SN5	124907119	153
ENSG00000274917	RNA5-8SN5	124907120	153
ENSG00000274917	RNA5-8SN5	124907121	153
ENSG00000274917	RNA5-8SN5	124907122	153
ENSG00000274917	RNA5-8SN5	124907123	153
ENSG00000274917	RNA5-8SN5	124907124	153
ENSG00000274917	RNA5-8SN5	124907125	153
ENSG00000274917	RNA5-8SN5	124907126	153
ENSG00000274917	RNA5-8SN5	124907127	153
ENSG00000274917	RNA5-8SN5	124907128	153
ENSG00000274917	RNA5-8SN5	124907129	153
ENSG00000274917	RNA5-8SN5	124907130	153
ENSG00000274917	RNA5-8SN5	124907131	153
ENSG00000274917	RNA5-8SN5	124907132	153
